
2022-12-15 16:32:52.725718;::1;1;deconnexion.php
2022-12-15 16:33:15.796652;::1;3;connexion.php
2023-01-05 13:58:46.329944;::1;1;connexion.php
2023-01-05 13:59:06.434621;::1;1;deconnexion.php
2023-01-05 13:59:26.513132;::1;3;connexion.php
2023-01-05 13:59:38.615832;::1;3;deconnexion.php
2023-01-05 13:59:49.297502;::1;2;connexion.php
2023-01-05 13:59:57.751417;::1;2;deconnexion.php
2023-01-05 14:00:22.874141;::1;1;connexion.php
2023-01-05 14:15:38.301415;::1;1;deconnexion.php
2023-01-05 14:15:46.736270;::1;1;connexion.php
